title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker,ticker_sentiment_score,ticker_relevance_score
3 Secrets to a Healthy Portfolio,https://moneymorning.com/investing/3-secrets-to-a-healthy-portfolio/,20230619T145532,"['Tom Gentile', 'Garrett Baldwin', 'Matthew Carr', 'mcarr']","""It's not how much money you make, but how much money you keep, how hard it works for you, and how many generations you keep it for."" - Robert Kiyosaki The markets are closed today in celebration of independence. In recognition of the dream of freedom achieved by millions.",https://moneymorning.com/wp-content/blogs.dir/1/files/2023/06/bp-report-01.png,Money Morning,GoogleRSS,moneymorning.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.928769'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]",0.317496,Somewhat-Bullish,MSFT,0.12471,0.158519
3 Secrets to a Healthy Portfolio,https://moneymorning.com/investing/3-secrets-to-a-healthy-portfolio/,20230619T145532,"['Tom Gentile', 'Garrett Baldwin', 'Matthew Carr', 'mcarr']","""It's not how much money you make, but how much money you keep, how hard it works for you, and how many generations you keep it for."" - Robert Kiyosaki The markets are closed today in celebration of independence. In recognition of the dream of freedom achieved by millions.",https://moneymorning.com/wp-content/blogs.dir/1/files/2023/06/bp-report-01.png,Money Morning,GoogleRSS,moneymorning.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.928769'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]",0.317496,Somewhat-Bullish,NFLX,0.12471,0.158519
3 Secrets to a Healthy Portfolio,https://moneymorning.com/investing/3-secrets-to-a-healthy-portfolio/,20230619T145532,"['Tom Gentile', 'Garrett Baldwin', 'Matthew Carr', 'mcarr']","""It's not how much money you make, but how much money you keep, how hard it works for you, and how many generations you keep it for."" - Robert Kiyosaki The markets are closed today in celebration of independence. In recognition of the dream of freedom achieved by millions.",https://moneymorning.com/wp-content/blogs.dir/1/files/2023/06/bp-report-01.png,Money Morning,GoogleRSS,moneymorning.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.928769'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]",0.317496,Somewhat-Bullish,GOOG,0.096531,0.079656
3 Secrets to a Healthy Portfolio,https://moneymorning.com/investing/3-secrets-to-a-healthy-portfolio/,20230619T145532,"['Tom Gentile', 'Garrett Baldwin', 'Matthew Carr', 'mcarr']","""It's not how much money you make, but how much money you keep, how hard it works for you, and how many generations you keep it for."" - Robert Kiyosaki The markets are closed today in celebration of independence. In recognition of the dream of freedom achieved by millions.",https://moneymorning.com/wp-content/blogs.dir/1/files/2023/06/bp-report-01.png,Money Morning,GoogleRSS,moneymorning.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.928769'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]",0.317496,Somewhat-Bullish,META,0.12471,0.158519
3 Secrets to a Healthy Portfolio,https://moneymorning.com/investing/3-secrets-to-a-healthy-portfolio/,20230619T145532,"['Tom Gentile', 'Garrett Baldwin', 'Matthew Carr', 'mcarr']","""It's not how much money you make, but how much money you keep, how hard it works for you, and how many generations you keep it for."" - Robert Kiyosaki The markets are closed today in celebration of independence. In recognition of the dream of freedom achieved by millions.",https://moneymorning.com/wp-content/blogs.dir/1/files/2023/06/bp-report-01.png,Money Morning,GoogleRSS,moneymorning.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.928769'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]",0.317496,Somewhat-Bullish,AAPL,0.12471,0.158519
3 Secrets to a Healthy Portfolio,https://moneymorning.com/investing/3-secrets-to-a-healthy-portfolio/,20230619T145532,"['Tom Gentile', 'Garrett Baldwin', 'Matthew Carr', 'mcarr']","""It's not how much money you make, but how much money you keep, how hard it works for you, and how many generations you keep it for."" - Robert Kiyosaki The markets are closed today in celebration of independence. In recognition of the dream of freedom achieved by millions.",https://moneymorning.com/wp-content/blogs.dir/1/files/2023/06/bp-report-01.png,Money Morning,GoogleRSS,moneymorning.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.928769'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]",0.317496,Somewhat-Bullish,XOM,0.12471,0.158519
3 Secrets to a Healthy Portfolio,https://moneymorning.com/investing/3-secrets-to-a-healthy-portfolio/,20230619T145532,"['Tom Gentile', 'Garrett Baldwin', 'Matthew Carr', 'mcarr']","""It's not how much money you make, but how much money you keep, how hard it works for you, and how many generations you keep it for."" - Robert Kiyosaki The markets are closed today in celebration of independence. In recognition of the dream of freedom achieved by millions.",https://moneymorning.com/wp-content/blogs.dir/1/files/2023/06/bp-report-01.png,Money Morning,GoogleRSS,moneymorning.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.928769'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]",0.317496,Somewhat-Bullish,AMZN,0.12471,0.158519
3 Secrets to a Healthy Portfolio,https://moneymorning.com/investing/3-secrets-to-a-healthy-portfolio/,20230619T145532,"['Tom Gentile', 'Garrett Baldwin', 'Matthew Carr', 'mcarr']","""It's not how much money you make, but how much money you keep, how hard it works for you, and how many generations you keep it for."" - Robert Kiyosaki The markets are closed today in celebration of independence. In recognition of the dream of freedom achieved by millions.",https://moneymorning.com/wp-content/blogs.dir/1/files/2023/06/bp-report-01.png,Money Morning,GoogleRSS,moneymorning.com,"[{'topic': 'Life Sciences', 'relevance_score': '0.25'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.25'}, {'topic': 'Financial Markets', 'relevance_score': '0.928769'}, {'topic': 'Energy & Transportation', 'relevance_score': '0.25'}, {'topic': 'Technology', 'relevance_score': '0.25'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}]",0.317496,Somewhat-Bullish,PFE,0.12471,0.158519
Meta Platforms  ( META )  Brings AI in Audio Space With VoiceBox,https://www.zacks.com/stock/news/2110167/meta-platforms-meta-brings-ai-in-audio-space-with-voicebox,20230619T144000,['Zacks Investment Research'],"Meta Platforms (META) launches VoiceBox, a generative AI model that helps users perform speech-generation tasks such as audio editing, sampling and styling.",https://staticx-tuner.zacks.com/images/articles/main/cc/12495.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",0.344316,Somewhat-Bullish,GOOG,0.168951,0.068698
Meta Platforms  ( META )  Brings AI in Audio Space With VoiceBox,https://www.zacks.com/stock/news/2110167/meta-platforms-meta-brings-ai-in-audio-space-with-voicebox,20230619T144000,['Zacks Investment Research'],"Meta Platforms (META) launches VoiceBox, a generative AI model that helps users perform speech-generation tasks such as audio editing, sampling and styling.",https://staticx-tuner.zacks.com/images/articles/main/cc/12495.jpg,Zacks Commentary,n/a,www.zacks.com,"[{'topic': 'Earnings', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Manufacturing', 'relevance_score': '0.5'}]",0.344316,Somewhat-Bullish,META,0.389399,0.395012
